H	S	T
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	H
H	S	H
H	S	H
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	H
H	S	T
H	S	T
H	S	T
H	S	H
H	S	H
H	S	H
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	T
H	S	T
H	S	T
H	S	H
H	S	T
H	S	H
H	S	H
