H	C	T
H	C	H
H	C	T
H	C	H
H	C	T
H	C	H
H	C	T
H	C	T
H	C	T
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	H
H	C	H
H	C	H
H	C	T
H	C	T
H	C	H
H	C	T
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	T
H	C	H
H	C	H
H	C	T
H	C	T
H	C	T
H	C	H
H	C	T
H	C	H
H	C	T
H	C	T
H	C	H
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	T
H	C	H
H	C	T
H	C	H
H	C	H
H	C	H
H	C	T
H	C	H
H	C	T
H	C	T
H	C	H
H	C	H
H	C	H
H	C	T
H	C	T
H	C	T
H	C	T
H	C	H
H	C	T
H	C	T
H	C	T
H	C	H
H	C	T
H	C	T
H	C	H
H	C	H
H	C	T
H	C	H
H	C	T
H	C	H
H	C	T
H	C	T
H	C	T
H	C	T
H	C	H
H	C	T
H	C	T
H	C	H
H	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	T
T	C	T
T	C	H
T	C	T
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	H
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	H
T	C	H
T	C	H
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	T
T	C	H
T	C	H
T	C	H
T	C	T
T	C	T
T	C	T
T	C	T
T	C	T
T	C	H
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	H
T	C	H
T	C	T
T	C	H
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	T
T	C	H
T	C	H
T	C	T
T	C	T
T	C	H
T	C	T
T	C	T
T	C	H
T	C	T
T	C	H
T	C	T
T	C	T
T	C	T
T	C	T
T	C	T
T	C	H
T	C	T
T	C	T
T	C	H
T	C	H
T	C	H
T	C	T
T	C	H
T	C	T
T	C	H
T	C	H
H	S	H
H	S	T
H	S	H
H	S	H
H	S	T
H	S	T
H	S	H
H	S	H
H	S	T
